counter,time,open,high,low,close,tick_volume,spread,real_volume
302,1740025800,2938.32,2938.71,2936.08,2937.01,1791,17,0
303,1740026700,2937,2941.62,2936.23,2940.85,1706,17,0
304,1740027600,2940.86,2944.09,2940.63,2943.66,1270,17,0
305,1740028500,2943.66,2944.14,2942.4,2943.03,1039,17,0
306,1740029400,2943.03,2943.06,2941.47,2942.17,1109,17,0
307,1740030300,2942.16,2943.23,2940.58,2941.83,1039,17,0
308,1740031200,2942,2942.59,2940.01,2940.64,980,17,0
309,1740032100,2940.64,2940.94,2939.51,2940.72,942,17,0
310,1740033000,2940.72,2941.39,2939.39,2941,813,17,0
311,1740033900,2940.98,2941.16,2939.23,2940,793,17,0
312,1740034800,2940.12,2943.33,2939.32,2943.09,1224,17,0
313,1740035700,2943.09,2945.11,2942.72,2944.76,890,17,0
314,1740036600,2944.75,2945.48,2943.6,2944.05,1170,17,0
315,1740037500,2943.91,2946.89,2943.85,2946.7,1196,17,0
316,1740038400,2946.69,2947.24,2944.9,2945.53,1461,17,0
317,1740039300,2945.56,2946.55,2944.82,2945.79,1284,17,0
318,1740040200,2945.82,2947.13,2943.91,2944.91,1466,15,0
319,1740041100,2944.92,2949.03,2944.14,2947.65,1575,15,0
320,1740042000,2947.63,2949.26,2946.3,2948.52,1343,15,0
321,1740042900,2948.74,2949.45,2947.94,2949.01,1129,15,0
322,1740043800,2948.98,2954.33,2948.08,2948.59,1857,13,0
323,1740044700,2948.59,2949.31,2947.12,2948.99,1665,13,0
324,1740045600,2949.07,2954.49,2948.85,2954.13,1913,13,0
325,1740046500,2954.13,2954.9,2952.67,2952.74,1691,13,0
326,1740047400,2952.75,2954.77,2952.75,2953.77,1555,13,0
327,1740048300,2953.77,2954.73,2952.17,2954.51,1302,13,0
328,1740049200,2954.51,2954.92,2953.31,2953.69,1507,13,0
329,1740050100,2953.63,2954.82,2952.45,2952.68,1337,13,0
330,1740051000,2952.68,2953.5,2949.89,2950.73,1484,13,0
331,1740051900,2950.56,2953.37,2950.01,2951.41,1458,13,0
332,1740052800,2951.37,2954.38,2951.32,2954.13,1585,13,0
333,1740053700,2954.16,2954.91,2952.55,2953.51,1482,13,0
334,1740054600,2953.51,2954.25,2949.06,2952.65,2142,13,0
335,1740055500,2952.59,2953.48,2950.87,2952.23,1588,13,0
336,1740056400,2952.48,2952.98,2950.59,2951.06,1209,13,0
337,1740057300,2951.25,2951.98,2949.37,2951.68,1416,13,0
338,1740058200,2951.52,2952.49,2948.92,2949.64,1167,13,0
339,1740059100,2949.8,2949.8,2947.15,2948.83,1676,13,0
340,1740060000,2948.9,2950.89,2947.05,2948.76,1956,12,0
341,1740060900,2948.76,2948.99,2938.71,2941.78,2458,12,0
342,1740061800,2941.74,2944.87,2940.86,2944.32,1827,12,0
343,1740062700,2944.19,2945.91,2942.22,2945.43,1773,12,0
344,1740063600,2945.41,2947.24,2940.52,2943.45,2573,12,0
345,1740064500,2943.3,2946.35,2942.17,2944.09,2197,12,0
346,1740065400,2943.9,2947.61,2939.94,2940.01,2526,12,0
347,1740066300,2940.01,2940.01,2933.89,2934.1,2838,12,0
348,1740067200,2933.95,2934.51,2924.1,2925.61,2919,12,0
349,1740068100,2925.61,2931.4,2924.36,2929.35,2948,12,0
350,1740069000,2929.29,2940,2929.26,2939.26,2909,12,0
351,1740069900,2939.27,2939.84,2934.69,2934.8,2713,12,0
352,1740070800,2935.03,2937.51,2931.71,2934.48,2850,12,0
353,1740071700,2934.45,2938.96,2933,2936.72,2315,12,0
354,1740072600,2936.73,2938.46,2933.17,2937.64,2290,12,0
355,1740073500,2937.5,2939.61,2935.37,2938.61,2256,12,0
356,1740074400,2938.63,2939.58,2935.91,2938.41,1893,12,0
357,1740075300,2938.39,2945.64,2937.84,2942.9,2243,12,0
358,1740076200,2942.9,2945.74,2942.77,2944.67,2129,12,0
359,1740077100,2944.47,2944.98,2942.23,2943.18,1995,12,0
360,1740078000,2943.19,2945.16,2940.55,2941.63,1953,14,0
361,1740078900,2941.63,2942.48,2940.49,2941.68,1658,14,0
362,1740079800,2941.73,2947.06,2941.12,2945.8,1610,14,0
363,1740080700,2945.79,2945.9,2939.92,2940.5,1799,14,0
364,1740081600,2940.19,2941.64,2938.56,2938.66,1943,14,0
365,1740082500,2938.69,2941.17,2937.45,2940.72,1826,14,0
366,1740083400,2940.78,2941.52,2939.97,2941.07,1496,14,0
367,1740084300,2941.09,2942.53,2940.42,2941.63,1330,14,0
368,1740085200,2941.7,2941.9,2939.25,2939.5,1504,14,0
369,1740086100,2939.51,2940.33,2937.64,2937.95,1479,14,0
370,1740087000,2937.96,2938.39,2933.63,2935.46,1597,14,0
371,1740087900,2935.48,2938.91,2934.52,2937.84,1505,14,0
372,1740088800,2937.84,2938.23,2935.73,2936.67,1332,14,0
373,1740089700,2936.66,2938.21,2935.87,2936.33,1210,14,0
374,1740090600,2936.28,2937.59,2935.52,2936.27,1228,14,0
375,1740091500,2936.3,2938.87,2935.84,2937.92,1493,14,0
376,1740092400,2937.81,2939.4,2937.49,2939.33,823,21,0
377,1740093300,2939.33,2940.04,2939.17,2939.74,649,21,0
378,1740094200,2939.74,2940.3,2939.7,2939.96,486,21,0
379,1740095100,2939.96,2940.13,2938.76,2939.67,445,21,0
380,1740099600,2939.45,2939.6,2938.73,2938.82,191,17,0
381,1740100500,2938.79,2940.44,2938.46,2940.4,279,17,0
382,1740101400,2940.4,2942.64,2940.26,2942.16,566,17,0
383,1740102300,2942.18,2943.46,2940.83,2941.59,502,17,0
384,1740103200,2941.58,2942.75,2940.82,2942.12,692,17,0
385,1740104100,2942.16,2942.19,2937.15,2938.45,795,17,0
386,1740105000,2938.45,2939.84,2937.69,2939.64,701,17,0
387,1740105900,2939.62,2940.33,2939.25,2940.08,692,17,0
388,1740106800,2940.08,2946.94,2939.78,2946.01,2062,17,0
389,1740107700,2946.03,2949.84,2945,2945.48,1793,17,0
390,1740108600,2945.57,2945.81,2936.01,2936.6,2084,17,0
391,1740109500,2936.62,2937.12,2926.76,2928.85,2707,17,0
392,1740110400,2928.85,2938.84,2926.27,2938.28,2434,17,0
393,1740111300,2938.27,2940.25,2937.54,2938.1,1533,17,0
394,1740112200,2938.1,2941.19,2937.56,2939.67,1829,17,0
395,1740113100,2939.82,2940.74,2939.07,2939.17,1450,17,0
396,1740114000,2939.21,2939.81,2930,2932.86,2226,17,0
397,1740114900,2932.83,2933.8,2927.17,2928.3,2030,17,0
398,1740115800,2928.33,2934.05,2928.27,2932.32,1409,17,0
399,1740116700,2932.17,2932.72,2930.28,2931.14,1200,17,0
400,1740117600,2931.14,2932.32,2930.47,2930.89,1206,17,0
401,1740118500,2930.89,2931.47,2929.98,2930.73,1068,17,0
402,1740119400,2930.72,2932.21,2930.11,2930.16,1029,17,0
403,1740120300,2930.15,2930.5,2926.57,2928.41,1419,17,0
404,1740121200,2928.38,2928.81,2925.49,2927.48,1537,17,0
405,1740122100,2927.57,2928.53,2926.07,2927.51,1046,17,0
406,1740123000,2927.5,2931.07,2924.21,2930.57,2054,17,0
407,1740123900,2930.57,2933.96,2929.64,2930.13,1609,17,0
408,1740124800,2930.12,2931.03,2925.69,2928.95,1791,17,0
409,1740125700,2928.96,2929.7,2926.62,2928.99,1548,17,0
410,1740126600,2929.02,2931.57,2928.74,2929.57,1504,15,0
411,1740127500,2929.58,2931.25,2928.87,2929.82,1201,15,0
412,1740128400,2929.82,2933.04,2929.2,2931.75,1570,15,0
413,1740129300,2931.93,2932.78,2930.72,2930.72,778,15,0
414,1740130200,2930.72,2932.01,2929.76,2930.92,872,13,0
415,1740131100,2930.91,2932.6,2929.05,2929.96,1086,13,0
416,1740132000,2929.93,2931.38,2923.75,2924,2060,13,0
417,1740132900,2924.13,2924.59,2916.69,2919.46,2371,13,0
418,1740133800,2919.32,2923.22,2918.83,2921.91,1912,13,0
419,1740134700,2921.91,2924.83,2921.11,2923.21,1521,13,0
420,1740135600,2923.2,2927.17,2922.97,2924.56,1789,13,0
421,1740136500,2924.56,2926.18,2923.59,2925.37,1192,13,0
422,1740137400,2925.37,2929.17,2925.07,2926.85,1497,13,0
423,1740138300,2926.85,2929.59,2926.2,2929.28,1423,13,0
424,1740139200,2929.28,2930.92,2928.93,2930.43,1538,13,0
425,1740140100,2930.45,2930.84,2929.23,2929.56,1139,13,0
426,1740141000,2929.57,2930.56,2928.89,2930.16,1012,13,0
427,1740141900,2930.16,2931.1,2929.61,2930.43,755,13,0
428,1740142800,2930.43,2934.75,2929.65,2934.17,1341,13,0
429,1740143700,2934.35,2936.09,2931.95,2935.76,1468,13,0
430,1740144600,2936.02,2936.02,2930.75,2931.85,1551,13,0
431,1740145500,2931.92,2932.02,2927.85,2928.47,1393,13,0
432,1740146400,2928.47,2931.39,2927.53,2931.02,1849,12,0
433,1740147300,2931.02,2934.4,2931.02,2933.19,1676,12,0
434,1740148200,2933.19,2935.31,2933.1,2934.29,1289,12,0
435,1740149100,2934.45,2934.67,2929.9,2930.2,1752,12,0
436,1740150000,2930.04,2933.12,2929.68,2932.65,2001,12,0
437,1740150900,2932.81,2934.63,2930.09,2932.36,2089,12,0
438,1740151800,2932.52,2932.96,2926.95,2929.89,2397,12,0
439,1740152700,2929.9,2932.99,2929.54,2931.03,1996,12,0
440,1740153600,2930.87,2934.32,2929.25,2933.76,1993,12,0
441,1740154500,2933.75,2935.71,2933.46,2935.61,1919,12,0
442,1740155400,2935.61,2935.68,2928.15,2930.33,2743,12,0
443,1740156300,2930.89,2939.2,2930.89,2933.77,2920,12,0
444,1740157200,2933.47,2935.81,2927.66,2927.9,2959,12,0
445,1740158100,2928.04,2929.14,2921.57,2925.33,2826,12,0
446,1740159000,2925.32,2929.52,2924.97,2925.82,2620,12,0
447,1740159900,2925.81,2931.61,2925.72,2928.73,2473,12,0
448,1740160800,2928.75,2931.8,2927.27,2931.45,2300,12,0
449,1740161700,2931.48,2934.91,2931.32,2934.25,2027,12,0
450,1740162600,2934.3,2938.5,2933.97,2936.23,2039,12,0
451,1740163500,2936.23,2938.33,2935.28,2936.68,1842,12,0
452,1740164400,2936.68,2938.4,2936.18,2937.91,1642,14,0
453,1740165300,2937.95,2939.76,2937.18,2937.91,1637,14,0
454,1740166200,2937.82,2940.68,2937.51,2940.31,1679,14,0
455,1740167100,2940.25,2941.69,2939.17,2939.86,1413,14,0
456,1740168000,2939.82,2940.37,2937.92,2938.67,1651,14,0
457,1740168900,2938.82,2940.22,2937.69,2939.5,1788,14,0
458,1740169800,2939.37,2942.48,2939.3,2940.58,1814,14,0
459,1740170700,2940.46,2942.81,2939.98,2941.78,1441,14,0
460,1740171600,2941.86,2942.61,2940.96,2941.56,1427,14,0
461,1740172500,2941.53,2942.67,2938.99,2939.36,1265,14,0
462,1740173400,2939.4,2940.4,2937.07,2937.7,1447,14,0
463,1740174300,2937.71,2937.71,2932.87,2933.5,1941,14,0
464,1740175200,2933.3,2937.27,2933.2,2935.82,1634,14,0
465,1740176100,2935.81,2935.81,2932.36,2934.22,1649,14,0
466,1740177000,2934.29,2936.38,2933.32,2936.06,1645,14,0
467,1740177900,2936.1,2936.32,2934.22,2934.86,1705,14,0
468,1740178800,2934.82,2935.54,2932.08,2935.41,789,21,0
469,1740179700,2935.42,2936.51,2934.92,2936.2,771,21,0
470,1740180600,2936.23,2938.2,2935.67,2937.46,530,21,0
471,1740181500,2937.44,2938.07,2935.8,2936.28,470,21,0
472,1740358800,2939.5,2940.6,2938.08,2939.22,806,17,0
473,1740359700,2939.28,2940.52,2938.39,2938.6,889,17,0
474,1740360600,2938.53,2939.36,2936.91,2937.94,952,17,0
475,1740361500,2937.94,2938.95,2936.37,2936.91,1120,17,0
476,1740362400,2936.91,2938.08,2936.18,2936.64,884,17,0
477,1740363300,2936.5,2937.16,2934.27,2935.68,1033,17,0
478,1740364200,2935.69,2935.89,2933.79,2934.92,902,17,0
479,1740365100,2934.91,2934.98,2929.44,2930.07,1449,17,0
480,1740366000,2930.13,2930.13,2923.2,2924.26,2221,17,0
481,1740366900,2924.26,2926.18,2921.3,2925.81,2245,17,0
482,1740367800,2925.8,2931.38,2925.05,2929.39,2427,17,0
483,1740368700,2929.38,2929.82,2924.87,2928.22,1605,17,0
484,1740369600,2927.98,2928.96,2924.95,2928.19,1380,17,0
485,1740370500,2928.19,2933.04,2928.01,2931.26,1903,17,0
